id,titulo,ciclo_proposto,disciplina_proposta,tema_proposto,tipo_schema,tipo_pretendido_original,conceitos_transversais,justificativa,objetivos_preliminares,prioridade,estado,origem,esforco,dependencias,decisao,notas,criado_em,decidido_em
IDEA-P4-009,Doenças oportunistas e coinfecções na aids,Clínico,Agressão e Defesa II,Doenças oportunistas e coinfecções na aids,material,material clínico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Incluir profilaxia e tratamento após delimitação.",2026-09-15,
IDEA-P4-010,Hepatites virais,Clínico,Agressão e Defesa II,Hepatites virais,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Diferenciar HBV, HCV e demais hepatites pertinentes.",2026-09-15,
IDEA-P4-011,"Antivirais para HBV, HCV e SARS-CoV-2",Clínico,Agressão e Defesa II,"Antivirais para HBV, HCV e SARS-CoV-2",a_definir,conjunto farmacológico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Verificar vigência antes de desenvolver.",2026-09-15,
IDEA-P4-012,Infecções por vírus respiratórios,Clínico,Agressão e Defesa II,Infecções por vírus respiratórios,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Não confundir com farmacologia antiviral isolada.",2026-09-15,
IDEA-P4-013,Resposta imune a vírus,Clínico,Agressão e Defesa II,Resposta imune a vírus,material,material básico-clínico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Candidato transversal à infectologia.",2026-09-15,
IDEA-P4-014,Fundamentos de parasitologia médica,Clínico,Agressão e Defesa II,Fundamentos de parasitologia médica,a_definir,trilha a delimitar,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"O cronograma usa ""Parasitologia I–V""; requer escopo nominal antes de desenvolver.",2026-09-15,
IDEA-P4-015,Resposta imune a parasitas,Clínico,Agressão e Defesa II,Resposta imune a parasitas,material,material básico-clínico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Separar fundamentos dos packs de doenças.",2026-09-15,
IDEA-P4-016,Antiparasitários,Clínico,Agressão e Defesa II,Antiparasitários,material,material farmacológico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Delimitar classes e indicações.",2026-09-15,
IDEA-P4-017,Parasitoses intestinais,Clínico,Agressão e Defesa II,Parasitoses intestinais,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Integrar etiologia, clínica, diagnóstico, tratamento e prevenção.",2026-09-15,
IDEA-P4-018,Infecções sistêmicas por protozoários,Clínico,Agressão e Defesa II,Infecções sistêmicas por protozoários,a_definir,conjunto a delimitar,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Não criar um material enciclopédico sem priorização.",2026-09-15,
IDEA-P4-019,Diarreias infecciosas,Clínico,Agressão e Defesa II,Diarreias infecciosas,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Abranger causas bacterianas, virais e parasitárias.",2026-09-15,
IDEA-P4-020,Infecções sexualmente transmissíveis,Clínico,Agressão e Defesa II,Infecções sexualmente transmissíveis,a_definir,trilha/conjunto,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Agressão e Defesa II",a_definir,,,"Dividir posteriormente por síndromes e agentes.",2026-09-15,
IDEA-P4-021,Semiologia cardiovascular,Clínico,Cardiologia,Semiologia cardiovascular,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-022,Valvopatias aórtica e pulmonar,Clínico,Cardiologia,Valvopatias aórtica e pulmonar,a_definir,material/questões/SRS,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-023,Valvopatias mitral e tricúspide,Clínico,Cardiologia,Valvopatias mitral e tricúspide,a_definir,material/questões/SRS,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-024,Endocardite infecciosa,Clínico,Cardiologia,Endocardite infecciosa,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,"Acervo já tem lote grande de questões published sobre este tema (auditoria 21-A2); auditar cobertura antes de expandir.",2026-09-15,
IDEA-P4-025,Febre reumática,Clínico,Cardiologia,Febre reumática,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-026,Insuficiência cardíaca,Clínico,Cardiologia,Insuficiência cardíaca,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,"Acervo já tem lote grande de questões published sobre este tema (auditoria 21-A2); auditar cobertura antes de expandir.",2026-09-15,
IDEA-P4-027,Cardiomiopatias,Clínico,Cardiologia,Cardiomiopatias,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-028,Hipertensão arterial primária,Clínico,Cardiologia,Hipertensão arterial primária,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,"Acervo já tem lote grande de questões published sobre este tema (auditoria 21-A2); auditar cobertura antes de expandir.",2026-09-15,
IDEA-P4-029,Aterosclerose,Clínico,Cardiologia,Aterosclerose,material,material mecanístico-clínico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-030,Síndrome coronariana crônica,Clínico,Cardiologia,Síndrome coronariana crônica,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-031,Síndrome coronariana aguda sem supradesnivelamento do ST,Clínico,Cardiologia,Síndrome coronariana aguda sem supradesnivelamento do ST,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-032,Infarto agudo do miocárdio com supradesnivelamento do ST,Clínico,Cardiologia,Infarto agudo do miocárdio com supradesnivelamento do ST,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-033,Taquiarritmias,Clínico,Cardiologia,Taquiarritmias,a_definir,conjunto a delimitar,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-034,Bradiarritmias,Clínico,Cardiologia,Bradiarritmias,a_definir,conjunto a delimitar,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Cardiologia",a_definir,,,,2026-09-15,
IDEA-P4-035,Abordagem sindrômica da dispneia,Clínico,Pneumologia,Abordagem sindrômica da dispneia,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia",a_definir,,,"Diferenciais cardiovasculares, pulmonares e sistêmicos.",2026-09-15,
IDEA-P4-036,Diagnóstico diferencial da dor torácica,Clínico,Pneumologia,Diagnóstico diferencial da dor torácica,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia",a_definir,,,"Candidato interdisciplinar.",2026-09-15,
IDEA-P4-037,Tosse e hemoptise,Clínico,Pneumologia,Tosse e hemoptise,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia",a_definir,,,"Há cobertura parcial no acervo; auditar antes de criar.",2026-09-15,
IDEA-P4-040,Derrame pleural,Clínico,Pneumologia,Derrame pleural,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia",a_definir,,,"Integrar semiologia, imagem e etiologia.",2026-09-15,
IDEA-P4-041,Doenças pulmonares intersticiais,Clínico,Pneumologia,Doenças pulmonares intersticiais,a_definir,trilha/conjunto,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia",a_definir,,,"Delimitar doenças prioritárias.",2026-09-15,
IDEA-P4-042,Tromboembolismo pulmonar,Clínico,Pneumologia,Tromboembolismo pulmonar,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia",a_definir,,,"Diagnóstico, estratificação e manejo.",2026-09-15,
IDEA-P4-043,Nódulo pulmonar,Clínico,Pneumologia,Nódulo pulmonar,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia",a_definir,,,"Incluir avaliação de risco e seguimento após fonte vigente.",2026-09-15,
IDEA-P4-044,Abordagem da anemia e interpretação do hemograma,Clínico,Hematologia,Abordagem da anemia e interpretação do hemograma,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia (tema hematológico)",a_definir,,,"Tema hematológico apesar de constar no cronograma pneumológico.",2026-09-15,
IDEA-P4-045,Anemia ferropriva,Clínico,Hematologia,Anemia ferropriva,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia (tema hematológico)",a_definir,,,,2026-09-15,
IDEA-P4-046,Anemia megaloblástica,Clínico,Hematologia,Anemia megaloblástica,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Pneumologia (tema hematológico)",a_definir,,,,2026-09-15,
IDEA-P4-047,Avaliação da função renal,Clínico,Nefrologia,Avaliação da função renal,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-048,Doença renal policística,Clínico,Nefrologia,Doença renal policística,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-049,Imagem em nefrologia,Clínico,Nefrologia,Imagem em nefrologia,material,material de habilidade diagnóstica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-050,Distúrbios acidobásicos,Clínico,Nefrologia,Distúrbios acidobásicos,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-051,Síndrome edemigênica,Clínico,Nefrologia,Síndrome edemigênica,material,material sindrômico interdisciplinar,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-052,Urinálise,Clínico,Nefrologia,Urinálise,material,material de habilidade diagnóstica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-053,Distúrbios do metabolismo de sódio e água,Clínico,Nefrologia,Distúrbios do metabolismo de sódio e água,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-054,Distúrbios do potássio,Clínico,Nefrologia,Distúrbios do potássio,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-055,Hipertensão arterial secundária,Clínico,Nefrologia,Hipertensão arterial secundária,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,IDEA-P4-028,,"Distinguir do pack de hipertensão primária (IDEA-P4-028) sem fundir os escopos.",2026-09-15,
IDEA-P4-056,Doença renal diabética,Clínico,Nefrologia,Doença renal diabética,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-057,Injúria renal aguda,Clínico,Nefrologia,Injúria renal aguda,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-058,Síndrome nefrótica,Clínico,Nefrologia,Síndrome nefrótica,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,IDEA-P4-061,,,2026-09-15,
IDEA-P4-059,Nefropatia lúpica,Clínico,Nefrologia,Nefropatia lúpica,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,IDEA-P4-061,,,2026-09-15,
IDEA-P4-060,Doença renal crônica,Clínico,Nefrologia,Doença renal crônica,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,,2026-09-15,
IDEA-P4-061,Glomerulopatias,Clínico,Nefrologia,Glomerulopatias,a_definir,trilha/conjunto,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Nefrologia",a_definir,,,"Delimitar entidades e relação com síndrome nefrótica/nefrítica.",2026-09-15,
IDEA-P4-062,Dislipidemias,Clínico,Endocrinologia,Dislipidemias,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Endocrinologia",a_definir,,,,2026-09-15,
IDEA-P4-063,Diagnóstico do diabetes mellitus,Clínico,Endocrinologia,Diagnóstico do diabetes mellitus,a_definir,material/questões/SRS,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Endocrinologia",a_definir,,,,2026-09-15,
IDEA-P4-064,Obesidade e síndrome metabólica,Clínico,Endocrinologia,Obesidade e síndrome metabólica,complete_pack,pack completo,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Saúde do Adulto I / Endocrinologia",a_definir,,,,2026-09-15,
IDEA-P4-065,Introdução ao diagnóstico anatomopatológico,Transversal,Habilidades Profissionais IV,Introdução ao diagnóstico anatomopatológico,material,material básico de habilidade,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-066,Patologia pulmonar e doenças granulomatosas pulmonares,Transversal,Habilidades Profissionais IV,Patologia pulmonar e doenças granulomatosas pulmonares,a_definir,conjunto anatomopatológico,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-067,Anatomopatologia do infarto e da hipertensão,Transversal,Habilidades Profissionais IV,Anatomopatologia do infarto e da hipertensão,material,material transversal,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-068,Espirometria: execução e interpretação,Transversal,Habilidades Profissionais IV,Espirometria: execução e interpretação,material,habilidade diagnóstica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-069,Análise de antibiogramas,Transversal,Habilidades Profissionais IV,Análise de antibiogramas,material,habilidade diagnóstica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-070,Eletrocardiograma básico e interpretação de laudos,Transversal,Habilidades Profissionais IV,Eletrocardiograma básico e interpretação de laudos,a_definir,trilha de habilidade,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-071,Ecocardiograma: fundamentos e interpretação clínica inicial,Transversal,Habilidades Profissionais IV,Ecocardiograma: fundamentos e interpretação clínica inicial,material,habilidade diagnóstica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-072,Radiografia do tórax,Transversal,Habilidades Profissionais IV,Radiografia do tórax,material,habilidade diagnóstica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-073,Tomografia do tórax,Transversal,Habilidades Profissionais IV,Tomografia do tórax,material,habilidade diagnóstica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-074,Imagem do encéfalo nas emergências neurológicas,Transversal,Habilidades Profissionais IV,Imagem do encéfalo nas emergências neurológicas,material,habilidade diagnóstica,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,,,"Competência/lente complementar; ligar transversalmente a pack clínico correspondente sem duplicar material.",2026-09-15,
IDEA-P4-075,Farmacoterapia da asma,Transversal,Habilidades Profissionais IV,Farmacoterapia da asma,material,componente do pack Asma,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,IDEA-3,,"Componente farmacológico explicitamente ligado ao pack Asma (IDEA-3); não desenvolver isolado.",2026-09-15,
IDEA-P4-076,Farmacoterapia da hipertensão,Transversal,Habilidades Profissionais IV,Farmacoterapia da hipertensão,material,componente do pack Hipertensão,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,IDEA-P4-028,,"Componente farmacológico explicitamente ligado ao pack Hipertensão arterial primária (IDEA-P4-028).",2026-09-15,
IDEA-P4-077,Farmacoterapia da DPOC,Transversal,Habilidades Profissionais IV,Farmacoterapia da DPOC,material,componente do pack DPOC,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,IDEA-4,,"Componente farmacológico explicitamente ligado ao pack DPOC (IDEA-4); não desenvolver isolado.",2026-09-15,
IDEA-P4-078,Farmacoterapia da insuficiência cardíaca,Transversal,Habilidades Profissionais IV,Farmacoterapia da insuficiência cardíaca,material,componente do pack Insuficiência cardíaca,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,IDEA-P4-026,,"Componente farmacológico explicitamente ligado ao pack Insuficiência cardíaca (IDEA-P4-026).",2026-09-15,
IDEA-P4-079,Farmacoterapia das doenças isquêmicas,Transversal,Habilidades Profissionais IV,Farmacoterapia das doenças isquêmicas,material,componente dos packs coronarianos,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,"IDEA-P4-030; IDEA-P4-031; IDEA-P4-032",,"Componente farmacológico explicitamente ligado aos packs coronarianos.",2026-09-15,
IDEA-P4-080,Farmacoterapia das arritmias,Transversal,Habilidades Profissionais IV,Farmacoterapia das arritmias,material,componente da trilha de arritmias,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,"IDEA-P4-033; IDEA-P4-034",,"Componente farmacológico explicitamente ligado à trilha de arritmias.",2026-09-15,
IDEA-P4-081,Farmacoterapia da obesidade,Transversal,Habilidades Profissionais IV,Farmacoterapia da obesidade,material,componente do pack Obesidade,,,,a_definir,idea,"PAUTA-CANDIDATOS-PLANOS-ENSINO-4P-2026-09-15.md — Habilidades Profissionais IV",a_definir,IDEA-P4-064,,"Componente farmacológico explicitamente ligado ao pack Obesidade e síndrome metabólica (IDEA-P4-064).",2026-09-15,
